animal_id,name,datetime,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A922616,*Ophelia,01/28/2025 02:35:00 PM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Torbie
A922703,*Dipper,01/29/2025 12:40:00 PM,Stray,Normal,Dog,Intact Male,2 years,Anatol Shepherd Mix,Tricolor
A922739,*Bear,01/29/2025 04:36:00 PM,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown
A922851,*Honey Boy,01/30/2025 07:50:00 AM,Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Blue Tabby
A922776,Toby,01/30/2025 11:10:00 AM,Owner Surrender,Normal,Dog,Neutered Male,1 year,Pit Bull,Blue/White
A922769,Duke,01/30/2025 12:39:00 PM,Public Assist,Normal,Dog,Intact Male,7 years,Boxer Mix,Black/White
A922799,*Norma Jean,01/30/2025 01:50:00 PM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Orange Tabby
A922167,,01/30/2025 02:33:00 PM,Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair,Brown Tabby
A922850,*Rizzo,01/30/2025 06:15:00 PM,Public Assist,Normal,Dog,Intact Male,3 years,American Bulldog Mix,White/Black
A922863,*Magnolia,01/31/2025 09:19:00 AM,Stray,Neonatal,Dog,Intact Female,3 years,Chihuahua Shorthair/Beagle,White/Tan
A923287,Hemi,02/02/2025 01:14:00 PM,Stray,Normal,Dog,Intact Male,5 years,American Bulldog Mix,Brown Brindle/White
A923251,Tink,02/02/2025 03:10:00 PM,Stray,Injured,Cat,Intact Female,6 months,Scottish Fold,Blue
A923288,*Daisy,02/02/2025 07:31:00 PM,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White
A923320,*Francisco,02/03/2025 11:00:00 AM,Stray,Injured,Dog,Intact Male,2 years,Black Mouth Cur Mix,Brown/Black
A923423,Sheba,02/03/2025 02:33:00 PM,Abandoned,Normal,Dog,Spayed Female,7 years,Catahoula,Tan
A923637,Journee,02/05/2025 12:51:00 PM,Public Assist,Normal,Dog,Intact Male,2 years,American Pit Bull Terrier,Black
A921847,Smokey,02/05/2025 01:48:00 PM,Stray,Normal,Dog,Neutered Male,2 years,German Shepherd Mix,Gold
A923705,*Timon,02/05/2025 08:18:00 PM,Stray,Normal,Dog,Intact Male,10 months,Doberman Pinsch/German Shepherd,Black/Brown
A923724,*Summer,02/06/2025 10:30:00 AM,Stray,Normal,Dog,Intact Female,1 year,Carolina Dog Mix,Buff
A923783,Patches,02/06/2025 03:59:00 PM,Stray,Normal,Cat,Neutered Male,6 years,Domestic Shorthair,White/Black
A923861,*Topaz,02/07/2025 01:23:00 PM,Stray,Injured,Dog,Intact Female,4 months,Catahoula/German Shepherd,Brown/Black
A923955,*Butler,02/07/2025 02:31:00 PM,Stray,Normal,Cat,Intact Male,9 months,Domestic Shorthair,Black/White
A924053,*Halsey,02/07/2025 05:36:00 PM,Abandoned,Normal,Dog,Intact Female,1 year,Border Collie/Labrador Retriever,Black/White
A924105,*Queen Iduna,02/08/2025 12:23:00 PM,Owner Surrender,Normal,Dog,Intact Female,1 year,Anatol Shepherd Mix,White/Brown
A867389,Mini,02/09/2025 12:55:00 PM,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Tan/White
A924423,*Boo Bear,02/10/2025 03:30:00 PM,Stray,Normal,Cat,Intact Male,4 years,Domestic Shorthair,Black
A924429,*Schnucki,02/10/2025 04:14:00 PM,Stray,Normal,Dog,Intact Male,10 months,Pit Bull Mix,White/Brown
A924552,*Lana,02/12/2025 10:46:00 AM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,White
A924544,Oliver,02/12/2025 11:14:00 AM,Stray,Normal,Dog,Intact Male,3 years,American Staffordshire Terrier Mix,White/Blue
A924650,*Olive Oyl,02/13/2025 09:51:00 AM,Public Assist,Sick,Dog,Intact Female,9 months,Great Dane,Black/White
A924652,*Thurgood,02/13/2025 11:47:00 AM,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull,Brown/White
A924775,Squish,02/14/2025 03:23:00 PM,Stray,Medical,Dog,Intact Female,4 years,Pit Bull,White/Tan
A924776,*Champ,02/14/2025 03:23:00 PM,Stray,Medical,Dog,Intact Male,3 years,Pit Bull,Brown/White
A924789,*Chip,02/15/2025 07:29:00 AM,Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever,White/Brown
A924796,*Jupiter,02/15/2025 08:25:00 AM,Stray,Injured,Cat,Intact Male,8 months,Domestic Shorthair,Brown Tabby/White
